Location	Name	ID	Count	Slots
Charm	Tempestuous Charm	175740	1	6
Charm-Slot1	Tempus Faycite Shard: Earthforce Discipline	138700	1	6
Charm-Slot2	Empty	0	0	0
Charm-Slot3	Steadfast Shadow Gem	173169	1	6
Charm-Slot4	Shard of Unbound Fate	165985	1	6
Ear	Amorphous Pearl Earrings	175716	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Arcane Gem of Artfulness	175174	1	6
Ear-Slot3	Gleaming Emblem of the Overseer	173369	1	6
Head	Soulforge Cowl of Shattered Dominion	175646	1	6
Head-Slot1	Arcane Gem of Artfulness	175174	1	6
Head-Slot2	Violet Edged Rose	171369	1	6
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Adroit Mask of Eternal Reverie	171919	1	6
Face-Slot1	Empty	0	0	0
Face-Slot2	Arcane Gem of Artfulness	175174	1	6
Face-Slot3	Adroit Gem of Perpetual Reverie	171571	1	6
Ear	Golden Drop of Amber	175714	1	6
Ear-Slot1	Durus Faycite Shard: Eye of the Storm	138695	1	6
Ear-Slot2	Arcane Gem of Artfulness	175174	1	6
Ear-Slot3	Security Gem of Perpetual Reverie	171573	1	6
Neck	Radiant Assaulter's Collar of Legacies Lost	151481	1	6
Neck-Slot1	Tempus Faycite Shard: Terrorpalm Discipline	138696	1	6
Neck-Slot2	Mythic Charm	151234	1	6
Neck-Slot3	Gnoll Skull Fragment	175167	1	6
Neck-Slot4	Acolyte's Assaulting Ice of Legacies Lost	153883	1	6
Neck-Slot5	Acolyte's Attacker of Legacies Lost	153882	1	6
Neck-Slot6	Devotee's Attacker of Legacies Lost	153893	1	6
Shoulders	Aureate Skin Spaulders	173725	1	6
Shoulders-Slot1	Tempus Faycite Shard: Tiger's Symmetry	159565	1	6
Shoulders-Slot2	Arcane Gem of Artfulness	175174	1	6
Shoulders-Slot3	Ungerminated Spore	173167	1	6
Arms	Soulforge Armwraps of Eternal Reverie	171847	1	6
Arms-Slot1	Arcane Gem of Artfulness	175174	1	6
Arms-Slot2	Acrobat's Gem of Uprising	173572	1	6
Arms-Slot3	Extra Planar Potential Shard	148442	1	6
Arms-Slot4	Empty	0	0	0
Back	Aged Nebulous Assaulter's Cloak of the Selenelion	139379	1	6
Back-Slot1	Tempus Faycite Shard: Eye of the Storm	138694	1	6
Back-Slot2	Arcane Gem of Artfulness	175174	1	6
Back-Slot3	Mist-Filled Vial	175369	1	6
Back-Slot4	Acolyte's Attacker of the Harbinger	169780	1	6
Back-Slot5	Devotee's Enhancement of the Harbinger	169800	1	6
Back-Slot6	Devotee's Attacker of the Harbinger	169791	1	6
Wrist	Soulforge Wristguard of Shattered Dominion	175643	1	6
Wrist-Slot1	Arcane Gem of Artfulness	175174	1	6
Wrist-Slot2	Bioluminescent Cave Stone	173371	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Wrist	Soulforge Wristguard of Shattered Dominion	175643	1	6
Wrist-Slot1	Arcane Gem of Artfulness	175174	1	6
Wrist-Slot2	Luclinite Ensanguined Gem of Adroitness	167571	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Range	Favor of the Chosen	173731	1	6
Range-Slot1	Tempus Faycite Shard: Heron Stance	159073	1	6
Range-Slot2	Blazing Icon of Solusek Ro	175376	1	6
Range-Slot3	Protector's Gem of Uprising	173574	1	6
Hands	Soulforge Gloves of Shattered Dominion	175644	1	6
Hands-Slot1	Arcane Gem of Artfulness	175174	1	6
Hands-Slot2	Phantasmal Luclinite Gem of Adroitness	169571	1	6
Hands-Slot3	Extra Planar Potential Shard	148442	1	6
Hands-Slot4	Empty	0	0	0
Primary	Bo Staff of Resonant Fracture	175965	1	6
Primary-Slot1	Arcane Gem of Artfulness	175174	1	6
Primary-Slot2	Reactive Sharpened Gem of Unraveling Order	153970	1	6
Primary-Slot3	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Harbinger's Assaulter Ring of Cataclysm	168081	1	6
Fingers-Slot1	Luminous Restless Ice	164604	1	6
Fingers-Slot2	Defiant Claw	151793	1	6
Fingers-Slot3	Unparalleled Finesse Gem of Distant Echoes	166898	1	6
Fingers-Slot4	Acolyte's Enhancement of the Harbinger	169789	1	6
Fingers-Slot5	Devotee's Enhancement of Enduring Harmony	138895	1	6
Fingers-Slot6	Devotee's Fortification of the Harbinger	169778	1	6
Fingers	Duelist's Ring of Rebellion	173934	1	6
Fingers-Slot1	Ruby of Offense	111801	1	6
Fingers-Slot2	Arcane Gem of Artfulness	175174	1	6
Fingers-Slot3	Unparalleled Vigorous Gem of Distant Echoes	111506	1	6
Chest	Soulforge Tunic of Rebellion	173849	1	6
Chest-Slot1	Arcane Gem of Artfulness	175174	1	6
Chest-Slot2	Phantasmal Luclinite Gem of Security	169573	1	6
Chest-Slot3	Extra Planar Potential Shard	148442	1	6
Chest-Slot4	Empty	0	0	0
Legs	Soulforge Leggings of Rebellion	173848	1	6
Legs-Slot1	Arcane Gem of Artfulness	175174	1	6
Legs-Slot2	Mischievous Reanimating Reagent	171167	1	6
Legs-Slot3	Extra Planar Potential Shard	148442	1	6
Legs-Slot4	Empty	0	0	0
Feet	Soulforge Boots of Resonant Fracture	175845	1	6
Feet-Slot1	Arcane Gem of Artfulness	175174	1	6
Feet-Slot2	Medallion of Loathing	175371	1	6
Feet-Slot3	Extra Planar Potential Shard	148442	1	6
Feet-Slot4	Empty	0	0	0
Waist	Broadleaf Belt	175737	1	6
Waist-Slot1	Shard of Verdicts	110399	1	6
Waist-Slot2	Arcane Gem of Artfulness	175174	1	6
Waist-Slot3	Humongous Corrupted Pincer	169369	1	6
Power Source	Riven Arcana Protector Source	175183	1	6
Ammo	Intricate Jewelers Glass	95035	1	6
Ammo-Slot1	Empty	0	0	0
General 1	Broodslayer's Backpack	151799	1	48
General 1-Slot1	Carrot	13977	883	6
General 1-Slot2	Water Flask	13006	920	6
General 1-Slot3	Cloudy Potion	14514	18	6
General 1-Slot4	Cloudy Potion	14514	20	6
General 1-Slot5	Cloudy Potion	14514	20	6
General 1-Slot6	Cloudy Potion	14514	20	6
General 1-Slot7	Cloudy Potion	14514	17	6
General 1-Slot8	Crate of Waning Order	176007	1	46
General 1-Slot8-Slot1	Empty	0	0	0
General 1-Slot8-Slot2	Empty	0	0	0
General 1-Slot8-Slot3	Empty	0	0	0
General 1-Slot8-Slot4	Empty	0	0	0
General 1-Slot8-Slot5	Empty	0	0	0
General 1-Slot8-Slot6	Empty	0	0	0
General 1-Slot8-Slot7	Empty	0	0	0
General 1-Slot8-Slot8	Empty	0	0	0
General 1-Slot8-Slot9	Empty	0	0	0
General 1-Slot8-Slot10	Empty	0	0	0
General 1-Slot8-Slot11	Empty	0	0	0
General 1-Slot8-Slot12	Empty	0	0	0
General 1-Slot8-Slot13	Empty	0	0	0
General 1-Slot8-Slot14	Empty	0	0	0
General 1-Slot8-Slot15	Empty	0	0	0
General 1-Slot8-Slot16	Empty	0	0	0
General 1-Slot8-Slot17	Empty	0	0	0
General 1-Slot8-Slot18	Empty	0	0	0
General 1-Slot8-Slot19	Empty	0	0	0
General 1-Slot8-Slot20	Empty	0	0	0
General 1-Slot8-Slot21	Empty	0	0	0
General 1-Slot8-Slot22	Empty	0	0	0
General 1-Slot8-Slot23	Empty	0	0	0
General 1-Slot8-Slot24	Empty	0	0	0
General 1-Slot8-Slot25	Empty	0	0	0
General 1-Slot8-Slot26	Empty	0	0	0
General 1-Slot8-Slot27	Empty	0	0	0
General 1-Slot8-Slot28	Empty	0	0	0
General 1-Slot8-Slot29	Empty	0	0	0
General 1-Slot8-Slot30	Empty	0	0	0
General 1-Slot8-Slot31	Empty	0	0	0
General 1-Slot8-Slot32	Empty	0	0	0
General 1-Slot8-Slot33	Empty	0	0	0
General 1-Slot8-Slot34	Empty	0	0	0
General 1-Slot8-Slot35	Empty	0	0	0
General 1-Slot8-Slot36	Empty	0	0	0
General 1-Slot8-Slot37	Empty	0	0	0
General 1-Slot8-Slot38	Empty	0	0	0
General 1-Slot8-Slot39	Empty	0	0	0
General 1-Slot8-Slot40	Empty	0	0	0
General 1-Slot8-Slot41	Empty	0	0	0
General 1-Slot8-Slot42	Empty	0	0	0
General 1-Slot8-Slot43	Empty	0	0	0
General 1-Slot8-Slot44	Empty	0	0	0
General 1-Slot8-Slot45	Empty	0	0	0
General 1-Slot8-Slot46	Empty	0	0	0
General 1-Slot9	Empty	0	0	0
General 1-Slot10	Empty	0	0	0
General 1-Slot11	Obscured Wrist Armor of the Bound	174022	1	2
General 1-Slot11-Slot1	Empty	0	0	0
General 1-Slot11-Slot2	Empty	0	0	0
General 1-Slot12	Obscured Wrist Armor of the Bound	174022	1	2
General 1-Slot12-Slot1	Empty	0	0	0
General 1-Slot12-Slot2	Empty	0	0	0
General 1-Slot13	Obscured Wrist Armor of the Bound	174022	1	2
General 1-Slot13-Slot1	Empty	0	0	0
General 1-Slot13-Slot2	Empty	0	0	0
General 1-Slot14	Restless Ice Slush	163666	97	6
General 1-Slot15	Empty	0	0	0
General 1-Slot16	Fighting Staff of Eternal Reverie	171965	1	6
General 1-Slot16-Slot1	Rapidious Sun Shaving	171174	1	6
General 1-Slot16-Slot2	Empty	0	0	0
General 1-Slot16-Slot3	Elderwood War Club Ornamentation	152910	1	6
General 1-Slot17	Seal of the Sword	110395	1	6
General 1-Slot18	Riven Arcana Powder	170841	6	6
General 1-Slot19	Serene Sunset Sparkler	154820	2	6
General 1-Slot20	Empty	0	0	0
General 1-Slot21	Emberquartz Protector Source	171183	1	6
General 1-Slot22	Sarcoscypha Fungus	22120	14	6
General 1-Slot23	Emberquartz Protector Source	171183	1	6
General 1-Slot24	Emberquartz Protector Source	171183	1	6
