Location	Name	ID	Count	Slots
Charm	Angeliana's Earball	175738	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Arcane Gem of Artfulness	175174	1	6
Charm-Slot3	Protective Beak Bauble	171169	1	6
Charm-Slot4	Shard of Unbound Fate	165985	1	6
Ear	Defender's Earring of Rebellion	173914	1	6
Ear-Slot1	Emerald of Abjuration	111796	1	6
Ear-Slot2	Arcane Gem of Artfulness	175174	1	6
Ear-Slot3	Joy of the Dancer	175169	1	6
Head	Exarch Helm of Shattered Dominion	175618	1	6
Head-Slot1	Arcane Gem of Artfulness	175174	1	6
Head-Slot2	Hardened Glowing Diamond	171371	1	6
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Mask of the Anointed Chief	173717	1	6
Face-Slot1	Tourmaline of Alteration	111797	1	6
Face-Slot2	Nimble Gem of Uprising	173579	1	6
Face-Slot3	Protector's Gem of Uprising	173574	1	6
Ear	Amorphous Pearl Earrings	175716	1	6
Ear-Slot1	Citrine of Conjuration	111798	1	6
Ear-Slot2	Arcane Gem of Artfulness	175174	1	6
Ear-Slot3	Phantasmal Luclinite Gem of Adroitness	169571	1	6
Neck	Opalcrest Necklace	175721	1	6
Neck-Slot1	Empty	0	0	0
Neck-Slot2	Arcane Gem of Artfulness	175174	1	6
Neck-Slot3	Steadfast Shadow Gem	173169	1	6
Shoulders	Pauldrons of Loathing	175723	1	6
Shoulders-Slot1	Topaz of Evocation	111800	1	6
Shoulders-Slot2	Glittering Token of Horror	173174	1	6
Shoulders-Slot3	Gnoll Skull Fragment	175167	1	6
Arms	Exarch Vambraces of Shattered Dominion	175619	1	6
Arms-Slot1	Arcane Gem of Artfulness	175174	1	6
Arms-Slot2	Adroit Gem of Perpetual Reverie	171571	1	6
Arms-Slot3	Extra Planar Potential Shard	148442	1	6
Arms-Slot4	Empty	0	0	0
Back	Ice Veined Fire Cloak	175726	1	6
Back-Slot1	Empty	0	0	0
Back-Slot2	Arcane Gem of Artfulness	175174	1	6
